[252.9902, 304.57568;
 308.31027, 289.04288;
 279.77127, 294.70828;
 289.35196, 282.03857;
 281.32489, 276.06497;
 301.62512, 268.19232;
 281.84811, 273.05756;
 266.4364, 273.35693;
 207.47809, 294.5289;
 237.44571, 284.84146;
 218.21103, 293.30673;
 229.64162, 290.0311;
 230.40254, 297.31964;
 322.73904, 295.9689;
 299.01666, 301.72076;
 328.86816, 303.54135;
 311.63373, 302.8136;
 314.47552, 299.79745;
 356.51907, 331.70181;
 365.5408, 333.88733;
 210.26607, 298.57733;
 318.87613, 334.31436;
 368.37369, 320.09622;
 218.84955, 294.09726;
 223.33821, 305.92834;
 338.66644, 309.91281;
 319.56845, 316.23975;
 322.08365, 296.07797;
 290.3764, 293.10104;
 222.80885, 314.33493;
 253.49704, 276.95255;
 309.41644, 287.29111;
 333.43265, 308.66156;
 280.29828, 276.14706;
 268.38773, 357.89944;
 285.33035, 288.173;
 268.91266, 279.33557;
 231.85764, 290.76181;
 320.28412, 306.04578;
 306.98508, 303.14972;
 265.01144, 292.71088;
 259.70816, 283.96402;
 214.10605, 300.25214;
 352.46396, 333.52295;
 354.84991, 319.56195;
 301.11624, 361.05963;
 294.77707, 356.60001;
 341.17279, 338.49164;
 360.06961, 329.62143;
 285.8768, 354.13651;
 273.7048, 346.78519;
 349.45212, 317.11371;
 299.74747, 302.80661;
 285.92252, 285.95139;
 259.45642, 301.91837;
 260.56784, 287.63409;
 242.10257, 288.17435;
 250.87077, 336.77368;
 311.8551, 300.92526;
 329.76602, 300.63541;
 217.97546, 292.46338;
 327.15213, 291.43478;
 333.03094, 291.13708;
 255.25313, 279.38455;
 288.65909, 262.80743;
 334.99664, 295.67883;
 272.55182, 274.01071;
 271.81943, 283.80783;
 267.40152, 280.50681;
 294.47473, 283.22214;
 276.20547, 276.09998;
 292.87448, 265.46451;
 337.00577, 341.02048;
 317.95206, 353.29169;
 284.56134, 351.48096;
 345.25101, 326.95987;
 359.1347, 326.18604;
 256.69696, 348.52295;
 282.32697, 284.36896;
 224.03156, 295.62329;
 256.979, 281.18137;
 345.1915, 307.23499;
 240.74075, 313.48248;
 205.27127, 293.13657;
 224.83318, 287.52762;
 317.60721, 291.14679;
 250.98825, 320.10312;
 280.46878, 270.18683;
 241.46277, 282.40759;
 315.10382, 293.47504;
 287.0611, 275.87213;
 226.03227, 287.51849;
 305.20624, 287.72369;
 326.13824, 294.82767;
 331.09982, 321.10342;
 349.09317, 316.60165;
 300.51987, 281.84692;
 237.29027, 300.45474;
 225.17207, 296.03958;
 241.28716, 280.55136;
 337.57654, 312.89032;
 314.29672, 290.2717;
 349.96869, 311.08331;
 307.51575, 281.42419;
 293.06558, 278.45395;
 301.68341, 283.62106;
 245.99541, 306.79135;
 343.08188, 323.36993;
 339.19464, 312.44592;
 348.68039, 327.98996;
 324.68124, 308.77206;
 339.64685, 308.07831;
 295.96671, 349.08368;
 348.81958, 336.25616;
 280.73499, 349.99979;
 300.31018, 358.14163;
 230.33792, 282.37003;
 337.79977, 300.26956;
 331.9339, 349.42545;
 288.19812, 332.77872;
 264.76697, 282.22385;
 215.0079, 294.74686;
 268.57687, 273.49472;
 347.20386, 336.79684;
 349.77286, 323.97467;
 351.46637, 319.23566;
 312.94229, 355.71274;
 316.14478, 295.7652;
 264.53067, 274.51431;
 230.79463, 285.9769;
 264.49304, 282.20807;
 253.0121, 275.93689;
 219.55452, 286.81863;
 298.40683, 272.79413;
 220.42537, 290.73251;
 222.76852, 281.52777;
 341.6109, 330.22122;
 277.5722, 277.75854;
 293.62436, 268.56934;
 328.0108, 292.6875;
 263.86478, 282.70587;
 356.155, 327.51941;
 319.30692, 309.35629;
 263.00558, 273.81943;
 325.69711, 286.37225;
 281.17975, 371.16068;
 291.11395, 260.53055;
 309.08423, 287.82001;
 308.52359, 287.93469;
 321.42059, 299.66412;
 294.33899, 285.2774;
 349.487, 315.20923;
 354.63989, 316.9433;
 279.44009, 283.17526;
 285.89395, 263.27097;
 271.08035, 267.28873;
 288.73962, 261.67972;
 291.19263, 274.55096;
 325.4064, 319.70328;
 288.05734, 290.69556;
 349.53329, 332.57874;
 306.14319, 276.57153;
 297.75717, 271.04199;
 341.26526, 305.34058;
 351.5105, 313.12906;
 326.6434, 303.1264;
 309.09235, 287.74155;
 313.9288, 283.97818;
 341.38272, 307.16599;
 295.92761, 335.22122;
 241.60745, 332.29016;
 341.98886, 321.90643;
 362.00781, 321.01089;
 205.31172, 295.18982;
 360.50885, 331.43091;
 320.71136, 290.08389;
 260.34421, 316.43106;
 246.55887, 322.48132;
 227.95543, 288.52866;
 266.72714, 326.73151;
 282.92612, 329.14297;
 232.27895, 276.40982;
